category,name,description,ingredients,legend,green,yellow,blue,red,total,instructions,url
Breakfast,Omelet,"Go Greek, just don't smash the plate after!",1 Egg; 3/4 cup egg whites; 2 tbsp. feta; 2 cups spinach; 1/2 cup onions; 1/2 cup mushrooms; 1/2 cup skim milk; 1 slice whole-grain toast,HH; F,3,1,2,2,8,"1. Lightly spray skillet with PAM and begin heating skillet at medium heat.; 2. Saute onions, mushrooms and spinach.; 3. Combine and whisk eggs, egg whites and feta. Pour into skillet when ready.; 4. Flip and remove omelet as desired, or at fluffy consistency.; 5. Serve with toast and a glass of skim milk.",http://2.bp.blogspot.com/_UIXOn06Pz70/R9wd1F7fDoI/AAAAAAAACOM/XidF3xniSEs/s800/Mushroom+and+Spinach+Omelet+Closeup.jpg
Breakfast,Cereal Mix,Fibre up!,1/4 cup All-Bran buds; 1/4 cup cereal of choice; 2 tbsp almond slivers; 1 banana; 1/2 cup berries; 1 cup skim milk,F; HM; HH,3,1,2,2,8,"1. Combine All-Bran buds, cereal of your choice, and almonds into bowl. Banana may be included chopped, or eaten on the side.; 2. Add milk, mix, and serve.",http://gi365.co/food/banana-chai-granola/
Breakfast,French Toast,"You'll be ""berry"" surprised this one's healthy!",1 slice whole-grain toast; 2 eggs; 1 cup skim milk; 1 tsp. cinnamon; 1 cup berries; 1/2 cup peach slices ,F; HH,3,1,2,2,8,"1. Lightly spray skillet with PAM and begin heating skillet at medium heat.; 2. Combine and whisk eggs, 1/4 cup milk, and cinnamon.; 3. Dip bread into mixture, and place on skillet when ready. Flip when golden.; 4. Serve with berries and peaches on the side, and a glass of milk. ",http://drshannonweeks.com/wp-content/uploads/2012/09/pure_almond_french_toast.jpg
Breakfast,Morning Oats,"The ""parfait"" start to your day!",3/4 cup plain oatmeal; 1 tsp. cinnamon; 3/4 cup yogurt (fat-free); 1/2 cup berries; 1 tbsp. nut butter; 1/2 cup skim milk,F; HH,3,1,2,2,8,"1. Combine raw oats, cinnamon, berries, yogurt, and nut butter into a bowl, and mix.; 2. Serve with a cup of milk.",http://www.diet.com/recipes/recipe_img/yogurt-and-oats.jpg
Breakfast,Smoothie Surprise,Go for a morning juice jolt!,3/4 cup plain yogurt (fat-free); 1/2 frozen banana; 3/4 cup frozen fruit; 1 tbsp nut butter; 1 cup spinach; 1/4 cup oats; 1/2 cup skim milk ,HH,3,1,2,2,8,1. Combine all ingredients into a blender. Blend to desired consistency.,http://www.savvyvegetarian.com/images/recipes/fruit-smoothie-180x246.jpg
Breakfast,McDonald's ,Egg McMuffin & Strawberry & Banana Smoothie ,,FF,1,2,2,3,8,,http://www.mcdonalds.ca/ca/en/menu/full_menu/breakfast/egg_mcmuffin.html#/
Lunch,Turkey Wrap,Take your turkey with a sweet kick!,"1 whole-grain wrap; 6 slices turkey breast; 1 cup lettuce, shredded; 4 chopped baby carrots; 1/2 cucumber, sticks; 1 tbsp. sweet/sour sauce; 15 grapes",FF; S,4,2,2,3,11,1. Lightly spread sweet/sour sauce on wrap.; 2. Neatly add ingredients into wrap and wrap.; 3. Serve with grapes.,http://shannonmiller.com/wp-content/uploads/2010/06/iStock_000013247164XSmall.jpg
Lunch,Tuna Pita,Keep it old school!,"1 whole-grain pita; 1 can light flaked tuna; 1 tbsp. light mayo; 2 tbsp. hummus; 1/2 cup cucumber slices; 1/2 cup kale, shredded; 1 tomato, sliced; 2 tbsp cheddar cheese, light; 1.5 cups melon, sliced",F; HH,4,2,2,3,11,"1. Combine tuna and mayonnaise until evenly distributed.; 2. Line pita with hummus.; 3. Add Kale, tomatoes, cucumbers, tuna and cheese to pita and wrap.; 4. Serve with sliced melon.",http://pdxfoodlove.com/wp-content/uploads/2013/05/tunapita.jpg
Lunch,Pizza Pockets,Try this great lunch hack!,"1 whole-grain English muffin; 2 slices swiss cheese, light; 1/2 cup tomato sauce; 75g chicken breast slivers; 1 cup grilled mushroom and zucchini; 1 banana",F; HH; S,4,2,2,3,11,"1. Preheat oven to 375°F and line a baking pan with foil.; 2. Line English muffin halves with tomato sauce and place slices of Swiss cheese on top.; 3. Add toppings and bake for 10 minutes, or until golden brown.; 4. Serve with banana.",http://www.fullforkahead.com/wp-content/uploads/2012/08/English-Muffin-Pizzas.jpg
Lunch,Legume Salad,Power up with protein!,"3/4 cup chickpeas; 75g grilled x-firm tofu cubes; 50g crumbled feta, light; 2 cup chopped tomato, carrots, cucumber, celery; 1 tbsp. rice vinegar; 1 tbsp. oil; 8 whole-grain crackers ",HH,4,2,2,3,11,"1. Combine chickpeas, feta, and chopped vegetables into bowl.; 2. Grill tofu cubes until golden brown or as desired.; 3. Combine ingredients and add rice vinegar and olive (or vegetable) oil.; 4. Mix thoroughly and serve with crackers on the side. ",http://www.lifeinpleasantville.com/wp-content/uploads/2012/02/chickpea-salad.jpg
Lunch,Teriyaki Experience,Same great taste but save your coin for something else!,"1/2 cup whole-grain rice; 12 shrimp; 2 cups broccoli, carrots, yellow peppers, snap peas; 1 tbsp oil; 2 tbsp teriyaki sauce; 1 cup skim milk",F; HM; S; HH; C,4,2,2,3,11,1. Add 1 tbsp oil to wok or skillet and heat at medium-high heat.; 2. Cook shrimp and add vegetables when shrimp fully cooked. Cover and steam if desired.; 3. Add teriyaki sauce and lemon juice and mix thoroughly.; 4. Serve with rice and milk.,http://cdn.recipes100.com/v/3139dbac9cca5596f3e1d89525234eac.jpg
Lunch,McDonald's ,Cheese Burger & Fries,,FF,0,6,2,3,11,,http://www.mcdonalds.ca/ca/en/menu/full_menu/sandwiches/cheeseburger.html#/
